time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
11222,10199040,83,450.0,1174.1628,908,0.8248858451843262,0.11317507537644511,0.08025892078876495,0.121298828125,-0.0006590356462887333,4080,0.01568812,0.0003,-2.2407185043146214,0.2
11356,10321920,84,450.0,1144.259,908,0.8162940293550491,0.10212155457522992,0.04264654591679573,0.1151513671875,-0.0004864725607876608,4090,0.014286384,0.0003,-2.2573566426026326,0.2
11492,10444800,85,450.0,1192.8478,908,0.7649585008621216,0.11346926541603655,0.009229982271790504,0.12088297526041666,-0.0005077548464396387,4100,0.014733825,0.0003,-2.2819074649115403,0.2
11626,10567680,86,450.0,1167.7632,908,0.7673849016427994,0.124080752726101,0.03170444071292877,0.12274576822916666,-0.0003585201967446968,4110,0.024805846,0.0003,-2.1909343686016896,0.2
11762,10690560,87,450.0,1211.2085,908,0.7929926365613937,0.11270557907676751,0.0650637224316597,0.12649739583333333,-0.0015590519010644736,4120,0.014878754,0.0003,-2.233505296272536,0.2
11897,10813440,88,450.0,1242.7563,908,0.765659973025322,0.13860729938785274,0.08270204067230225,0.11981689453125,0.0006525955995251327,4130,0.015044629,0.0003,-2.17956513768062,0.2
12031,10936320,89,450.0,1225.1754,908,0.7598324418067932,0.14145509941217219,0.07270458340644836,0.13152018229166668,-0.0008832366792679143,4140,0.01457027,0.0003,-2.2342950334586202,0.2
12164,11059200,90,450.0,1230.8062,909,0.8066746294498444,0.12324987959465944,0.0924094170331955,0.12354248046875,-0.00021083709523130287,4150,0.015030881,0.0003,-2.2130489878418547,0.2
12298,11182080,91,450.0,1253.277,909,0.8073244094848633,0.11417695575398587,0.013598153367638588,0.13101806640625,-0.0013779761566123246,4160,0.018315585,0.0003,-2.1901180591185887,0.2
12434,11304960,92,450.0,1240.398,909,0.7519615888595581,0.1541460696812525,0.0773070901632309,0.12990315755208334,-0.0005013054035346916,4170,0.014650811,0.0003,-2.186803152288,0.2
12569,11427840,93,450.0,1268.7869,909,0.8270850628614426,0.12416841030884825,0.07771997153759003,0.13636555989583332,-0.0008728002755985168,4180,0.013675821,0.0003,-2.245233964404712,0.2
12704,11550720,94,450.0,1261.8795,909,0.7710922509431839,0.14529983797100915,0.08422720432281494,0.12624104817708334,-0.0008129801859528622,4190,0.015552759,0.0003,-2.212813355829567,0.2
12838,11673600,95,450.0,1240.6857,909,0.8322352468967438,0.13998076682163324,0.08236482739448547,0.13328450520833332,-0.00033398408715887246,4200,0.014640787,0.0003,-2.179401275062313,0.2
12973,11796480,96,450.0,1285.8342,909,0.7963936924934387,0.139349252037282,0.033763594925403595,0.12660319010416668,-0.0006690496926906538,4210,0.016164191,0.0003,-2.2204367817565798,0.2
13108,11919360,97,450.0,1181.9608,909,0.8485413044691086,0.14295012447134164,0.09393700212240219,0.13384765625,-0.0006343651540555584,4220,0.015600021,0.0003,-2.194351856963088,0.2
13244,12042240,98,450.0,1238.9476,909,0.8176933974027634,0.12768988718201096,0.06483438611030579,0.11930989583333333,-0.0008675391048685318,4230,0.01293513,0.0003,-2.265994679344197,0.2
13379,12165120,99,450.0,1252.5024,909,0.8176991492509842,0.15099687377636048,0.11601822823286057,0.1306005859375,-0.00040568779263897643,4240,0.013228021,0.0003,-2.259108360260725,0.2
13515,12288000,100,450.0,1214.9031,909,0.7996374517679214,0.13433761693609994,0.06988965719938278,0.12222900390625,-0.0006567205435567303,4250,0.014035509,0.0003,-2.256598362425963,0.2
13648,12410880,101,450.0,1240.7124,909,0.7449957728385925,0.147627498973452,0.11217525601387024,0.1155029296875,-0.0004930556301830317,4260,0.015225309,0.0003,-2.2605633260309697,0.2
13784,12533760,102,450.0,1196.1294,909,0.7600860297679901,0.13860325732195633,0.04068669304251671,0.12045328776041667,-0.0005195534678356732,4270,0.0134714255,0.0003,-2.2570082415392,0.2
13917,12656640,103,450.0,1222.9412,909,0.7696564197540283,0.14084286445193964,0.05671411380171776,0.13123616536458332,-0.0012445295795926843,4280,0.015886456,0.0003,-2.2734283668796222,0.2
14052,12779520,104,450.0,1261.5483,909,0.8081974387168884,0.13043517827313433,0.08826421946287155,0.13060384114583334,-0.000981031731692686,4290,0.016285354,0.0003,-2.325754096520444,0.2
14187,12902400,105,450.0,1191.3384,909,0.7653308212757111,0.14082113066644525,-0.00929250381886959,0.118056640625,-0.000799685668565265,4300,0.014173413,0.0003,-2.29701427731663,0.2
14322,13025280,106,450.0,1168.7789,909,0.7461657226085663,0.1240896218730874,0.055226199328899384,0.11155598958333333,-0.0008334838285554724,4310,0.015029252,0.0003,-2.2987225230410697,0.2
14455,13148160,107,450.0,1174.5375,909,0.7758375555276871,0.11902618860355384,0.08170890063047409,0.11374755859375,-0.0015582354914355772,4320,0.015346888,0.0003,-2.323598555624485,0.2
