rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
1520.1272,12777,12042240,98,942,423.58,-0.006928042026890277,0.029029904,970,0.2,0.7900491654872894,0.08660601824522018,0.12406317166081862,0.0003,-3.180662172238032,0.27216227213541666
1496.3416,12907,12165120,99,942,416.78,-0.00706018831631809,0.028355535,980,0.2,0.793665736913681,0.06498681753873825,0.1284669685783835,0.0003,-3.1590406160801647,0.26952880859375
1471.391,13036,12288000,100,942,411.48,-0.00728194419870609,0.02853766,990,0.2,0.7885269820690155,0.09938390552997589,0.12074878407768362,0.0003,-3.1487864957377316,0.27379231770833334
1508.4293,13167,12410880,101,942,416.92,-0.006513407701101338,0.028700467,1000,0.2,0.7794645130634308,0.01866571605205536,0.12687619526919056,0.0003,-3.138142077488204,0.26855550130208333
1456.3923,13298,12533760,102,942,400.72,-0.006507336289253847,0.029495142,1010,0.2,0.8265351504087448,0.13787055015563965,0.13995722376023575,0.0003,-3.1072061856711906,0.2754923502604167
1504.5905,13430,12656640,103,942,413.06,-0.006847012792604801,0.029279703,1020,0.2,0.8033024221658707,0.03556839004158974,0.13262443125849435,0.0003,-3.088075919933617,0.2743229166666667
1483.7361,13561,12779520,104,942,406.66,-0.006779553465088004,0.027604794,1030,0.2,0.8270835727453232,0.040874917060136795,0.11166645371602499,0.0003,-3.1019312565152846,0.26706624348958335
1521.888,13691,12902400,105,942,423.88,-0.00656263071701081,0.029038927,1040,0.2,0.7985755205154419,0.10673031955957413,0.14314423904569898,0.0003,-3.09080951568981,0.27246175130208333
1536.9786,13824,13025280,106,942,419.26,-0.006784107132031447,0.028996715,1050,0.2,0.7753820717334747,0.05713198706507683,0.12301269298991732,0.0003,-3.048939842271308,0.27200764973958336
1547.1321,13954,13148160,107,942,429.94,-0.006577064569361634,0.02929083,1060,0.2,0.7691215425729752,0.06346084177494049,0.13505755087797297,0.0003,-3.0631724592422445,0.2725496419270833
1596.5308,14083,13271040,108,942,437.66,-0.0060294285746082706,0.02908318,1070,0.2,0.7885808497667313,0.18367552757263184,0.1335221803628762,0.0003,-3.0398151873673003,0.277080078125
1576.85,14214,13393920,109,942,434.84,-0.006086007116561328,0.029606711,1080,0.2,0.8243207484483719,0.06419092416763306,0.12300302318753287,0.0003,-3.0135989507411916,0.27367594401041667
1532.0153,14342,13516800,110,942,419.6,-0.006889636896054678,0.028227799,1090,0.2,0.7767184376716614,0.04759884253144264,0.10413599745069708,0.0003,-2.998546459476153,0.2700911458333333
1536.2091,14471,13639680,111,942,419.54,-0.006206583169447792,0.029363193,1100,0.2,0.7545295357704163,0.043685249984264374,0.12093056757973196,0.0003,-3.0190800113976,0.2754435221354167
