time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/entropy_loss
119,1339.3118,14622720,351.06666666666666,759,19253,-0.012904416195469821,0.2,0.0002,0.13158318,0.49322265625,0.05979940398552572,0.8745456486940384,1180,-0.014123260974884033,-1.736556840421011
120,1498.142,14745600,396.0,759,19421,-0.012098940000226625,0.2,0.0002,0.1293192,0.48813802083333335,0.05585477980397021,0.8790483400225639,1190,0.011073092930018902,-1.7337677029706537
121,1189.747,14868480,305.1333333333333,758,19590,-0.011406980556991282,0.2,0.0002,0.13270323,0.49075927734375,0.06112791255274108,0.8467795550823212,1200,-0.03362056240439415,-1.7214439818200966
122,1442.6761,14991360,390.73333333333335,758,19757,-0.012293297367668855,0.2,0.0002,0.13045265,0.48868896484375,0.06133941673479664,0.8997215107083321,1210,-0.026509996503591537,-1.693471974351754
123,1201.0664,15114240,315.6,758,19921,-0.01251059212714002,0.2,0.0002,0.12906468,0.48903564453125,0.059127293805213414,0.8879054188728333,1220,-0.024354636669158936,-1.7041101195290684
124,1249.1704,15237120,339.93333333333334,758,20088,-0.011585675896152073,0.2,0.0002,0.13133672,0.49043212890625,0.06703218742884928,0.8952616229653358,1230,0.0005696672014892101,-1.6731806880235671
125,1521.6803,15360000,401.0,758,20254,-0.011188280251687199,0.2,0.0002,0.13115689,0.4897843424479167,0.06428223329652004,0.8691395074129105,1240,0.01422806829214096,-1.6782727230774859
126,1200.1017,15482880,320.0,758,20421,-0.01209322104565217,0.2,0.0002,0.13574375,0.48875813802083334,0.06606492772184235,0.8920211419463158,1250,0.01954967901110649,-1.6550318675488234
127,1609.1832,15605760,424.2,757,20590,-0.012815161409780557,0.2,0.0002,0.13295925,0.48571044921875,0.05380031619208846,0.8854261264204979,1260,-0.0027121081948280334,-1.6670652356992166
128,1573.4514,15728640,425.0,757,20754,-0.011874521249768198,0.2,0.0002,0.13200645,0.48602620442708333,0.058275748267381765,0.8850660622119904,1270,0.16751496493816376,-1.6475212316401302
129,1529.7245,15851520,410.8666666666667,757,20923,-0.012087995062299038,0.2,0.0002,0.12910467,0.4828271484375,0.056018241748218615,0.86262446641922,1280,-0.004981830716133118,-1.648991618839403
130,1500.8367,15974400,396.06666666666666,757,21091,-0.011979339329118375,0.2,0.0002,0.13026209,0.48331136067708336,0.05791687541815918,0.8610793650150299,1290,0.023556707426905632,-1.6424060972966255
131,1378.9858,16097280,363.2,757,21258,-0.011800621446509467,0.2,0.0002,0.13568988,0.48111897786458335,0.07177475125722897,0.8727329671382904,1300,0.014505060389637947,-1.594988645669073
132,1225.2225,16220160,322.8,757,21425,-0.011492598549513483,0.2,0.0002,0.13233744,0.47483235677083335,0.0598452723906909,0.8870614767074585,1310,0.019375674426555634,-1.5867515994360049
